datetime,power_mc_se_ds,power_mc_sw_ds,power_am_se_ds,power_am_sw_ds,power_mc_se_gfs,power_mc_sw_gfs,power_am_se_gfs,power_am_sw_gfs
2017-12-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 00:05:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 00:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 00:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 00:25:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 00:35:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 00:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 00:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 00:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 00:55:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 01:05:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 01:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 01:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 01:25:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 01:35:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 01:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 01:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 01:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 01:55:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 02:05:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 02:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 02:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 02:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 02:25:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 02:35:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 02:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 02:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 02:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 02:55:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 03:05:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 03:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 03:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 03:20:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 03:25:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 03:35:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 03:40:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 03:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 03:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 03:55:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-28 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
